"Zeitstempel","Teilnehmer-ID","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wie zufrieden sind Sie mit Ihrem Modell?","Haben Sie noch weitere Hinweise oder Anmerkungen?"
"2023/03/29 6:17:24 PM OEZ","1","3","4","6","7","7","7","7","7","5","4","7","7","6","6","5","6","6","6","6","6","3","3","2","4","5","5","6","6","6","6","6","6","7","7","7","7","7","7","7","7","5",""
"2023/03/30 5:14:41 PM OEZ","4","5","5","7","6","6","7","6","5","3","5","3","2","6","5","4","6","7","6","5","6","5","6","2","4","3","5","5","2","5","4","6","6","6","5","7","6","5","5","6","5","6","Einfärben des Modells wäre cool"
"2023/03/31 2:44:47 PM OEZ","5","6","4","6","7","7","5","5","7","7","5","6","6","7","6","6","7","7","7","6","6","3","6","4","5","2","2","3","2","6","6","6","6","5","7","7","7","5","6","6","6","5","Das Arbeiten mit dem Sand macht spaß und ist entspannend. Es ist sehr intuitive aber es braucht sicher viel Übung um detalreiche Landschaften nachzubilden."
"2023/04/01 4:34:20 PM OEZ","8","6","6","7","7","7","7","7","7","7","5","6","7","6","6","7","7","7","7","6","6","6","7","4","6","6","6","6","7","6","5","7","7","7","7","7","7","7","7","7","7","1","Im Sandkasten spielen macht einfach mehr Freude."
